"ID","Flights","Org_airport_lat","Org_airport_long","Dest_airport_lat","Dest_airport_long","Fly_date","Dest/Orig","City"
420,178,41.7859992980957,-87.7524032592773,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
421,30,41.97859955,-87.90480042,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
422,31,41.97859955,-87.90480042,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
423,142,41.97859955,-87.90480042,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
424,50,41.97859955,-87.90480042,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
425,67,41.97859955,-87.90480042,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
426,45,41.97859955,-87.90480042,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
427,2,41.97859955,-87.90480042,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
428,250,32.7336006165,-117.190002441,33.94250107,-118.4079971,"2009-12-01","Origin_city","San Diego, CA"
429,118,32.7336006165,-117.190002441,33.94250107,-118.4079971,"2009-12-01","Origin_city","San Diego, CA"
430,502,32.7336006165,-117.190002441,33.94250107,-118.4079971,"2009-12-01","Origin_city","San Diego, CA"
431,48,32.7336006165,-117.190002441,33.94250107,-118.4079971,"2009-12-01","Origin_city","San Diego, CA"
432,4,32.7336006165,-117.190002441,33.94250107,-118.4079971,"2009-12-01","Origin_city","San Diego, CA"
433,119,39.871898651123,-75.241096496582,33.94250107,-118.4079971,"2009-12-01","Origin_city","Philadelphia, PA"
434,3,39.871898651123,-75.241096496582,33.94250107,-118.4079971,"2009-12-01","Origin_city","Philadelphia, PA"
435,26,39.871898651123,-75.241096496582,33.94250107,-118.4079971,"2009-12-01","Origin_city","Philadelphia, PA"
436,10,39.871898651123,-75.241096496582,33.94250107,-118.4079971,"2009-12-01","Origin_city","Philadelphia, PA"
437,6,39.871898651123,-75.241096496582,33.94250107,-118.4079971,"2009-12-01","Origin_city","Philadelphia, PA"
438,15,39.871898651123,-75.241096496582,33.94250107,-118.4079971,"2009-12-01","Origin_city","Philadelphia, PA"
439,24,40.63980103,-73.77890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","New York, NY"
440,170,40.63980103,-73.77890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","New York, NY"
441,148,40.63980103,-73.77890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","New York, NY"
442,30,40.63980103,-73.77890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","New York, NY"
443,175,40.63980103,-73.77890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","New York, NY"
444,290,40.63980103,-73.77890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","New York, NY"
445,57,40.63980103,-73.77890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","New York, NY"
446,4,29.64539909,-95.27890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
447,112,29.64539909,-95.27890015,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
448,14,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
449,95,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
450,4,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
451,12,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
452,135,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
453,2,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
454,2,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
455,56,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971,"2009-12-01","Origin_city","Houston, TX"
456,122,47.4490013122559,-122.30899810791,33.94250107,-118.4079971,"2009-12-01","Origin_city","Seattle, WA"
457,76,47.4490013122559,-122.30899810791,33.94250107,-118.4079971,"2009-12-01","Origin_city","Seattle, WA"
458,31,47.4490013122559,-122.30899810791,33.94250107,-118.4079971,"2009-12-01","Origin_city","Seattle, WA"
459,104,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
460,6,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
461,195,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
462,68,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
463,47,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
464,64,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
465,50,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
466,73,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
467,45,33.4342994689941,-112.012001037598,33.94250107,-118.4079971,"2009-12-01","Origin_city","Phoenix, AZ"
468,183,47.4490013122559,-122.30899810791,33.94250107,-118.4079971,"2009-12-01","Origin_city","Seattle, WA"
469,62,47.4490013122559,-122.30899810791,33.94250107,-118.4079971,"2009-12-01","Origin_city","Seattle, WA"
470,41,47.4490013122559,-122.30899810791,33.94250107,-118.4079971,"2009-12-01","Origin_city","Seattle, WA"
471,52,29.5337009429932,-98.4698028564453,33.94250107,-118.4079971,"2009-12-01","Origin_city","San Antonio, TX"
472,4,29.5337009429932,-98.4698028564453,33.94250107,-118.4079971,"2009-12-01","Origin_city","San Antonio, TX"
473,88,29.5337009429932,-98.4698028564453,33.94250107,-118.4079971,"2009-12-01","Origin_city","San Antonio, TX"
474,39,41.97859955,-87.90480042,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Chicago, IL"
475,45,41.97859955,-87.90480042,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Chicago, IL"
476,56,41.7859992980957,-87.7524032592773,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Chicago, IL"
477,57,41.97859955,-87.90480042,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Chicago, IL"
478,29,41.97859955,-87.90480042,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Chicago, IL"
479,89,33.4342994689941,-112.012001037598,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Phoenix, AZ"
480,41,33.4342994689941,-112.012001037598,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Phoenix, AZ"
481,46,33.4342994689941,-112.012001037598,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Phoenix, AZ"
482,32,33.4342994689941,-112.012001037598,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Phoenix, AZ"
483,122,29.9843997955322,-95.3414001464844,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
484,60,29.9843997955322,-95.3414001464844,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
485,15,29.9843997955322,-95.3414001464844,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
486,82,29.64539909,-95.27890015,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
487,19,29.64539909,-95.27890015,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
488,68,29.64539909,-95.27890015,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
489,54,29.9843997955322,-95.3414001464844,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
490,27,29.9843997955322,-95.3414001464844,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
491,35,29.9843997955322,-95.3414001464844,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Houston, TX"
492,54,32.7336006165,-117.190002441,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","San Diego, CA"
493,146,32.8470993041992,-96.8517990112305,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Dallas, TX"
494,447,32.896800994873,-97.0380020141602,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Dallas, TX"
495,214,32.8470993041992,-96.8517990112305,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Dallas, TX"
496,24,32.8470993041992,-96.8517990112305,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Dallas, TX"
497,7,33.94250107,-118.4079971,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Los Angeles, CA"
498,88,33.94250107,-118.4079971,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Los Angeles, CA"
499,50,33.94250107,-118.4079971,29.5337009429932,-98.4698028564453,"2009-12-01","Origin_city","Los Angeles, CA"
500,66,32.7336006165,-117.190002441,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","San Diego, CA"
501,5,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
502,17,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
503,63,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
504,42,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
505,62,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
506,17,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
507,9,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
508,73,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
509,56,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
510,6,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
511,29,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
512,54,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
513,83,41.97859955,-87.90480042,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
514,127,41.7859992980957,-87.7524032592773,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
515,37,41.7859992980957,-87.7524032592773,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
516,17,41.7859992980957,-87.7524032592773,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Chicago, IL"
517,5,29.9843997955322,-95.3414001464844,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Houston, TX"
518,23,29.9843997955322,-95.3414001464844,39.871898651123,-75.241096496582,"2009-12-01","Origin_city","Houston, TX"
