"","Country","Adjusted net enrollment rate, primary (% of primary school age children)","Adolescents out of school (% of lower secondary school age)","Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, freight (million ton-km)","Children out of school, primary","Employment in agriculture (% of total employment) (modeled ILO estimate)","Employment in industry (% of total employment) (modeled ILO estimate)","Employment in services (% of total employment) (modeled ILO estimate)","GDP (current US$)","GDP per capita (current US$)","Imports of goods and services (% of GDP)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Military expenditure (% of GDP)","Mortality rate, infant, female (per 1,000 live births)","Number of infant deaths","Population, total","Primary completion rate, total (% of relevant age group)","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Services, value added (% of GDP)","Start-up procedures to register a business (number)","Time required to start a business (days)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Urban population (% of total population)","id"
"43","Sub-Saharan Africa",78.37222,37.02684,15.2000968550808,3585.90184945353,34700000,54.6450822477889,11.2583533909583,34.0964838960572,1699461795349.79,1574.19787081992,NA,68.1935925480203,58.80101,72.54938,65.57706,1.10303913970612,47.5,1971847,1078306520,68.78364,37.36194,21.60546,52.3736903606667,7.625,23.20625,6.09492677094965,40.1768233729515,43
"44","Sub-Saharan Africa (excluding high income)",78.37147,37.02855,15.2131743373979,3578.10884945353,34700000,54.6450822477889,11.2583533909583,34.0964838960572,1697871240842.69,1572.86396034076,NA,68.1935925480203,58.7967,72.54654,65.57343,1.10271431916093,47.5213609954055,1971827,1078209758,68.78184,37.36509,21.60801,52.3557795392501,7.59574468085106,23.0191489361702,6.09492677094965,40.175341337803,44
"45","Sub-Saharan Africa (IDA & IBRD countries)",78.37222,37.02684,15.2000968550808,3585.90184945353,34700000,54.6450822477889,11.2583533909583,34.0964838960572,1699461795349.79,1574.19787081992,NA,68.1935925480203,58.80101,72.54938,65.57706,1.10303913970612,47.5198347571153,1971847,1078306520,68.78364,37.36194,21.60546,52.3736903606667,7.625,23.20625,6.09492677094965,40.1768233729515,45
"46","Upper middle income",96.12099,7.23975,5.71994500351568,49374.4006779541,6570046,21.6811216190344,26.6384304177272,51.6810804936714,24435128586598.2,9200.4539541089,24.4353521370405,71.2982382604477,93.74047,96.63746,95.18383,1.91315470989027,9.9,405831,2655635719,95.28345,18.39381,14.16773,55.2593609997014,7.25454545454545,24.9109090909091,6.04840494401869,66.2333682980853,46
"47","World",90.45493,15.55311,NA,220707.195064108,59100000,28.2649635947778,22.9498246350747,48.7854215612607,85804390603622,11298.3037067153,NA,66.9467679431427,82.76805,89.83819,86.30101,2.14029251293419,26.7,4000115,7594270356,89.58919,23.44631,16.9982,NA,6.84816753926702,20.5,4.95100166988832,55.2705785486132,47
"48","Afghanistan",NA,NA,NA,29.5593487980126,NA,38.5880012512207,17.5960006713867,43.8160018920898,19362969582.3643,520.896602719135,NA,67.6869964599609,29.80521,55.47545,43.01972,0.984560504130132,44.5,57182,37172386,NA,NA,NA,NA,4,8.5,1.54200005531311,25.495,48
"49","Albania",97.44221,3.0568,18.3949039953239,NA,4085,37.9970016479492,19.3409996032715,42.6619987487793,15058879128.6536,5253.63006411357,45.528601033414,65.4759979248047,97.76112,98.51362,98.14115,1.17890055828841,7.2,268,2866376,101.5379,17.57287,11.19927,47.9072640375134,5,4.5,13.8979997634888,60.319,49
"50","Algeria",99.6475,NA,NA,28.28048,14211,9.29599952697754,30.7250003814697,59.9799995422363,180689115940.685,4278.85005953418,NA,45.1220016479492,75.32297,87.42296,81.40784,5.27141404556567,18.7,20591,42228429,105.144,24.32018,NA,NA,12,18,12.1450004577637,72.629,50
"51","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55465,NA,NA,NA,NA,NA,NA,NA,87.153,51
"52","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,3236543909.34844,42029.7627372989,NA,NA,NA,NA,NA,NA,2.5,2,77006,NA,10.49757,8.01599,NA,NA,NA,NA,88.062,52
